취급종류,구매자_업종,구매자_기업규모,구매자_소재지,계약자_업종,계약자_기업규모,계약자_소재지,인수일자,사고처리일자,사고사유,사고처리금액,사고정상해지금액,보상해지금액,보험금지급액,대위권원금회수금액,대위권발생일자,정상해지일자
매출채권보험,F41112,중소기업,서울,C18111,중소기업,서울,2011-03,2011-10,회생절차 등,1000000 ,1000000 ,0 ,0 ,0 ,  , 2011-10 
매출채권보험,F42412,중소기업,서울,G46699,중소기업,서울,2011-04,2011-12,거래정지처분(예금부족),25000000 ,0 ,25000000 ,25000000 ,0 , 2011-12 ,  
어음보험,F42412,중소기업,서울,G46699,중소기업,부산,2011-09,2011-12,거래정지처분(예금부족),66000000 ,0 ,66000000 ,66000000 ,0 , 2011-12 ,  
어음보험,F42412,중소기업,서울,G46699,중소기업,부산,2011-10,2011-12,거래정지처분(예금부족),17000000 ,0 ,17000000 ,17000000 ,0 , 2011-12 ,  
어음보험,F42412,중소기업,서울,G46699,중소기업,부산,2011-10,2011-12,거래정지처분(예금부족),12000000 ,0 ,12000000 ,12000000 ,0 , 2011-12 ,  
어음보험,F42412,중소기업,서울,C16299,중소기업,경기,2011-08,2011-12,거래정지처분(예금부족),14000000 ,0 ,14000000 ,14000000 ,0 , 2011-12 ,  
어음보험,F42412,중소기업,서울,C16299,중소기업,경기,2011-09,2011-12,거래정지처분(예금부족),7000000 ,0 ,7000000 ,7000000 ,0 , 2011-12 ,  
매출채권보험,F42132,중소기업,서울,G46611,중소기업,서울,2011-03,2011-10,이행지체,100000000 ,10000000 ,90000000 ,90000000 ,0 , 2011-10 , 2011-10 
매출채권보험,F42201,중소기업,서울,G46699,중소기업,서울,2011-03,2011-10,거래정지처분(예금부족),100000000 ,20000000 ,80000000 ,79000000 ,1000000 , 2011-11 , 2011-10 
매출채권보험,F42201,중소기업,서울,C22229,중소기업,경기,2011-05,2011-10,거래정지처분(예금부족),72000000 ,72000000 ,0 ,0 ,0 , 2011-11 , 2011-11 
매출채권보험,F42201,중소기업,서울,G46621,중소기업,서울,2011-03,2011-10,이행지체,50000000 ,1000000 ,49000000 ,48000000 ,0 , 2011-11 , 2011-10 
매출채권보험,F42201,중소기업,서울,G46621,중소기업,서울,2011-04,2011-10,이행지체,100000000 ,0 ,100000000 ,100000000 ,0 , 2011-11 ,  
매출채권보험,F42201,중소기업,서울,G46599,중소기업,서울,2011-04,2011-10,이행지체,21000000 ,8000000 ,13000000 ,13000000 ,0 , 2011-10 , 2011-10 
매출채권보험,F42201,중소기업,서울,G46621,중소기업,서울,2011-03,2011-10,거래정지처분(예금부족),100000000 ,100000000 ,0 ,0 ,0 ,  , 2011-10 
매출채권보험,F42201,중소기업,서울,G46721,중소기업,서울,2011-05,2011-10,거래정지처분(예금부족),24000000 ,0 ,24000000 ,24000000 ,0 , 2011-11 ,  
