보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,C25113,전남,중소기업, 28 ,어음보험,29000000 
2011,G46611,대구,중소기업, 16 ,어음보험,6000000 
2011,C25923,경기,중소기업, 13 ,어음보험,9000000 
2011,C25923,경기,중소기업, 13 ,어음보험,9000000 
2011,C25923,경기,중소기업, 13 ,어음보험,5000000 
2011,C29133,경남,중소기업, 10 ,어음보험,6000000 
2011,G46622,서울,중소기업, 8 ,어음보험,5000000 
2011,C23122,광주,중소기업, 4 ,어음보험,7000000 
2011,G46733,경기,중소기업, 5 ,어음보험,31000000 
2011,C22229,경기,중소기업, 5 ,어음보험,4000000 
2011,C25941,경기,중소기업, 6 ,어음보험,18000000 
2011,G46731,경기,중소기업, 5 ,어음보험,11000000 
2011,G46721,경기,중소기업, 3 ,어음보험,19000000 
2011,G46413,서울,중소기업, 2 ,어음보험,48000000 
2011,M71393,서울,중소기업, 3 ,어음보험,7000000 
2011,G46712,부산,중소기업, 25 ,어음보험,6000000 
2011,C25119,경남,중소기업, 29 ,어음보험,74000000 
2011,C25119,경남,중소기업, 29 ,어음보험,121000000 
2011,G46721,대구,중소기업, 20 ,매출채권보험,918000000 
2011,C20493,인천,중소기업, 17 ,어음보험,5000000 
2011,C20493,인천,중소기업, 17 ,어음보험,5000000 
2011,G46612,서울,중소기업, 16 ,어음보험,25000000 
2011,C29199,경북,중소기업, 9 ,어음보험,12000000 
2011,C16102,경기,중소기업, 9 ,어음보험,16000000 
2011,C32091,경북,중소기업, 8 ,매출채권보험,947000000 
2011,G46739,경기,중소기업, 5 ,매출채권보험,828000000 
2011,G46621,경기,중소기업, 3 ,어음보험,19000000 
2011,G46621,경기,중소기업, 3 ,어음보험,15000000 
2011,G46621,경기,중소기업, 3 ,어음보험,7000000 
2011,C29133,충북,중소기업, 15 ,매출채권보험,1352000000 
2011,C29299,경기,중소기업, 3 ,어음보험,40000000 
2011,C29299,경기,중소기업, 3 ,어음보험,53000000 
2011,C17221,경기,중소기업, 9 ,어음보험,13000000 
2011,G46594,서울,중소기업, 17 ,어음보험,33000000 
2011,G46699,서울,중소기업, 23 ,어음보험,10000000 
2011,G46699,서울,중소기업, 23 ,어음보험,30000000 
2011,G46699,서울,중소기업, 23 ,어음보험,30000000 
2011,G46721,서울,중소기업, 12 ,어음보험,86000000 
2011,C25913,경기,중소기업, 12 ,어음보험,11000000 
2011,C29174,서울,중소기업, 17 ,어음보험,17000000 
2011,C25942,충남,중소기업, 7 ,어음보험,14000000 
2011,C25942,충남,중소기업, 7 ,어음보험,7000000 
2011,G46699,서울,중소기업, 9 ,어음보험,5000000 
2011,G46699,서울,중소기업, 9 ,어음보험,5000000 
2011,G46621,서울,중소기업, 11 ,어음보험,4000000 
2011,G46621,서울,중소기업, 11 ,어음보험,12000000 
2011,G46621,서울,중소기업, 11 ,어음보험,5000000 
2011,C25999,경기,중소기업, 6 ,어음보험,8000000 
2011,G46742,서울,중소기업, 9 ,어음보험,10000000 
2011,G46733,경기,중소기업, 5 ,어음보험,16000000 
2011,G46739,대구,중소기업, 21 ,어음보험,13000000 
2011,C25913,경기,중소기업, 12 ,어음보험,35000000 
2011,C24199,충북,중소기업, 12 ,어음보험,27000000 
2011,G46721,경남,중소기업, 6 ,어음보험,46000000 
2011,G46721,경남,중소기업, 6 ,어음보험,44000000 
2011,C33910,서울,중소기업, 1 ,어음보험,48000000 
2011,C33910,서울,중소기업, 1 ,어음보험,13000000 
2011,C25113,대구,중소기업, 20 ,어음보험,3000000 
2011,C31114,경남,중소기업, 3 ,어음보험,11000000 
2011,C25122,경기,중소기업, 15 ,어음보험,112000000 
2011,C25122,경기,중소기업, 15 ,어음보험,120000000 
2011,G46612,서울,중소기업, 16 ,어음보험,12000000 
2011,G46599,광주,중소기업, 10 ,어음보험,19000000 
2011,C29174,서울,중소기업, 17 ,어음보험,15000000 
2011,G46622,전남,중소기업, 14 ,어음보험,20000000 
2011,G46622,전남,중소기업, 14 ,어음보험,14000000 
2011,G46622,전남,중소기업, 14 ,어음보험,14000000 
2011,G46622,전남,중소기업, 14 ,어음보험,14000000 
2011,G46799,경북,중소기업, 16 ,어음보험,46000000 
2011,G46621,서울,중소기업, 11 ,어음보험,26000000 
2011,G46699,대전,중소기업, 5 ,어음보험,8000000 
2011,G46699,서울,중소기업, 7 ,어음보험,12000000 
2011,C17210,대구,중소기업, 5 ,어음보험,43000000 
2011,G46621,경기,중소기업, 3 ,어음보험,12000000 
2011,C25111,경기,중소기업, 3 ,어음보험,21000000 
2011,G46699,서울,중소기업, 3 ,어음보험,5000000 
2011,C22240,인천,중소기업, 2 ,어음보험,4000000 
2011,C31114,인천,중소기업, 9 ,어음보험,48000000 
2011,C29294,대구,중소기업, 10 ,어음보험,7000000 
2011,C16102,경기,중소기업, 11 ,어음보험,4000000 
2011,G46733,서울,중소기업, 9 ,어음보험,60000000 
2011,C29222,경남,중소기업, 5 ,어음보험,19000000 
2011,G46329,제주,중소기업, 4 ,어음보험,4000000 
2011,G46329,제주,중소기업, 4 ,어음보험,3000000 
2011,G46539,서울,중소기업, 18 ,어음보험,7000000 
2011,G46442,서울,중소기업, 19 ,어음보험,13000000 
2011,G46699,서울,중소기업, 23 ,어음보험,78000000 
2011,C25991,경기,중소기업, 18 ,어음보험,17000000 
2011,G46622,대전,중소기업, 12 ,어음보험,12000000 
2011,G46621,경기,중소기업, 14 ,어음보험,23000000 
2011,G46539,서울,중소기업, 8 ,어음보험,16000000 
2011,G46739,광주,중소기업, 8 ,어음보험,7000000 
2011,M71391,강원,중소기업, 6 ,매출채권보험,11000000 
2011,C29199,경남,중소기업, 3 ,어음보험,27000000 
2011,G46621,서울,중소기업, 14 ,어음보험,35000000 
2011,G46322,제주,중소기업, 11 ,어음보험,4000000 
2011,C28112,충북,중소기업, 10 ,어음보험,53000000 
